firm_raw,firm,decision,note
ict,ICT,merge,"case only. ict.ac.cn is the Institute of Computing Technology, Chinese Academy of Sciences; ncic.ac.cn is the National Research Center for Intelligent Computing Systems, hosted at the same institute."
INRIA,Inria,merge,"case only. The institute restyled itself Inria in 2011; inria.fr carries the old all-caps form in the curated gitdm map."
Inspur Group,Inspur,merge,"generic corporate-group word dropped (C2). inspur.com is `Inspur` in the curated gitdm map. NOTE: both `Inspur Group` rows rest on malformed domains (`inpur.com`, a typo, and `inspur.com/cncf/gitdm`, a parse artifact); the merge does not bless them, it only stops them counting as a second firm."
Mail.Ru Group,Mail.Ru,merge,"generic corporate-group word dropped (C2). corp.mail.ru is `Mail.Ru` in the curated gitdm map."
Medidata,Medidata Solutions,merge,"same firm. Here the LONGER form wins (C3): mdsol.com -> `Medidata Solutions` is SEC-verified, while the short form rests on one single-person inference. NOTE: that inference is collibra.com -> `Medidata`, and Collibra is a different company; the bad domain row is recorded in the report as a candidate for the corrections overlay and is deliberately not fixed here."
Meta Platforms,Meta,merge,"same firm. fb.com, meta.com and kernel.dk are `Meta` in the curated `patch` source, which outranks nine single-person inferences (C3)."
Metaswitch Networks,Metaswitch,merge,"same firm. metaswitch.com is `Metaswitch` in the curated gitdm map (C3)."
Naver,NAVER,merge,"case only. The firm styles itself NAVER, and navercorp.com carries that form in the curated gitdm map."
Net EASE,NetEase,merge,"case and spacing only. 163.com and corp.netease.com carry `Net EASE`, netease.com carries `NetEase`; both are curated gitdm rows, so the firm's own styling decides (C1)."
NETFLIX,Netflix,merge,"case only; all-caps is the SEC filing form (netflix.com, spinellis-sec)."
NEW RELIC,New Relic,merge,"case only; all-caps is the SEC filing form (newrelic.com, spinellis-sec)."
Nexenta Systems,Nexenta,merge,"same firm. nexenta.com is `Nexenta` in the curated gitdm map (C3)."
NIKE,Nike,merge,"case only; all-caps is the SEC filing form (nike.com, spinellis-sec). The firm files as NIKE, Inc. and writes Nike in prose, so this is the one line in this table most open to a reviewer disagreeing."
NVidia,NVIDIA,merge,"case only. The firm styles itself NVIDIA; nvidia.com carries `NVidia` in the curated gitdm map."
Puppet Labs,Puppet,merge,"documented rename (C4) overriding source confidence: Puppet Labs renamed itself Puppet in 2016. puppetlabs.com carries the old name in the curated gitdm map; puppet.com carries the new one."
Qaware,QAware,merge,"case only. The firm styles itself QAware (qaware.de)."
Rakuten Group,Rakuten,merge,"generic corporate-group word dropped (C2). rakuten.com and rakops.com are `Rakuten` in the curated gitdm map."
RAPID7,Rapid7,merge,"case only; all-caps is the SEC filing form (rapid7.com, spinellis-sec)."
Renesas Electronics,Renesas,merge,"one lineage, three spellings. bp.renesas.com is `Renesas` from the curated `patch` source (C3). Renesas Technology was the 2003-2010 name and Renesas Electronics the name since; a reviewer who wants the current legal name would set both to `Renesas Electronics` instead, and this is the line to change."
Renesas Technology,Renesas,merge,"see the `Renesas Electronics` row. renesas.com carries the pre-2010 name in the curated gitdm map."
Roche Group,Roche,merge,"generic corporate-group word dropped (C2). roche.com is `Roche Group`, SEC-verified; the plain form reads as the firm."
SalesForce,Salesforce,merge,"case only. salesforce.com carries `SalesForce` in the curated gitdm map."
Salesforce.com,Salesforce,merge,"documented rename (C4): salesforce.com, inc. became Salesforce, Inc. in 2022. No suffix rule finds this one, because `.com` is part of the string rather than a suffix; it is a hand addition, and seven of the nine Salesforce rows carry it."
Samsung Electronics,Samsung,merge,"same firm. samsung.com is `Samsung` in the curated gitdm map (C3). NOT merged with `Samsung SDS`, which is a separate company."
spotahome,Spotahome,merge,"case only. spotahome.com carries the capitalised form."
ST Microelectronics,STMicroelectronics,merge,"spacing only. st.com and foss.st.com are `STMicroelectronics` from the curated `patch` source (C3)."
STMicroelectronics International,STMicroelectronics,merge,"`International` is part of ST's holding-company name (STMicroelectronics International N.V.), not a separate business. NOTE: the supporting domain is stericsson.com, the ST-Ericsson joint venture that ST absorbed in 2013 — a provenance oddity recorded in the report, but it is already attributed to an ST entity either way, so this merge does not change whose firm it is."
Tencent Holdings,Tencent,merge,"generic corporate-group word dropped (C2). Tencent Holdings Ltd is the legal name; tencent.com is `Tencent` in the curated gitdm map."
TWITTER,Twitter,merge,"case only; all-caps is the SEC filing form (twitter.com, spinellis-sec)."
Ultimate Software Group,Ultimate Software,merge,"generic corporate-group word dropped (C2). ultimatesoftware.com is `Ultimate Software Group`, SEC-verified."
UNISOC (Spreadtrum),UNISOC,merge,"the parenthetical is commentary, which norm_company already strips everywhere else, and Spreadtrum is UNISOC's former name (C4). Both rows come from the curated `patch` source."
Unisoc (Shanghai) Technologies,UNISOC,merge,"the parenthetical is a locality and `Technologies` a descriptor; Unisoc (Shanghai) Technologies Co., Ltd. is the main UNISOC operating entity, not a separately branded business."
VMWare,VMware,merge,"case only. vmware.com carries `VMWare` in the curated gitdm map; the firm styles itself VMware. NOT merged with `Pivotal`, which VMware acquired but which is a separate name in this map."
XiaoMi,Xiaomi,merge,"case only. xiaomi.com carries `XiaoMi`."
Yahoo!,Yahoo,merge,"punctuation only. yahoo-inc.com is `Yahoo` in the curated gitdm map. NOT merged with `Yahoo! Japan`, a separate company."
YANDEX,Yandex,merge,"case only. yandex-team.ru is `Yandex` in the curated gitdm map."
YELP,Yelp,merge,"case only; all-caps is the SEC filing form (yelp.com, spinellis-sec)."
ZeMoSo Technologies,ZeMoSo,merge,"same firm; ZeMoSo is a coined name, so the two spellings cannot be different companies. Both rows are single-person inferences, so nothing outranks anything and the shorter form wins (C5)."
Independent,Independent,keep,"REJECTED merge with `(Independent)`. The 15 `Independent` rows are all university domains carrying kind=company; the 58 `(Independent)` rows carry kind=free_provider or kind=independent and are the map's reserved token for a personal mail account. Merging would erase the difference between an academic affiliation and a free provider, and neither names a firm, so the merge buys nothing."
Aurora,Aurora,keep,"REJECTED merge with `Aurora Solutions`. `Aurora` alone is ambiguous (Aurora Innovation, Aurora Labs, others) and its only row is dipankar.name, a single-person inference unrelated to stakater.com, which is the domain behind Aurora Solutions."
Container,Container,keep,"REJECTED merge with `Container Solutions`. `Container` is not a firm name; the string cannot be verified to mean the Dutch consultancy Container Solutions, and its only row is zisky.net, a single-person inference."
China Mobile International,China Mobile International,keep,"REJECTED merge with `China Mobile`. China Mobile International Limited is a separately branded Hong Kong subsidiary with its own identity, and the single row supporting the string is wanderview.com, which is not a China Mobile address at all. `International` is not a legal-form suffix."
ipb (uk) Ltd.,ipb (uk) Ltd.,keep,"REJECTED merge with `IPB`. ipb.de is a UK company; ipb-halle.de is the Leibniz Institute of Plant Biochemistry. A three-letter acronym matching is not evidence of one firm."
Hewlett,Hewlett,keep,"REJECTED merge with `HP`. HP Inc. and Hewlett Packard Enterprise have been two companies since 2015, so a truncated `Hewlett` from one single-person inference (mahou-shoujo.moe) cannot be assigned to either. Separately: the curated map already maps both hp.com and hpe.com to `HP`, which is a pre-existing conflation reported but not changed here."
Yahoo! Japan,Yahoo! Japan,keep,"REJECTED merge with `Yahoo`. Yahoo Japan Corporation (now LY Corporation) is a separate company, majority held by SoftBank, never a Yahoo subsidiary. yahoo-corp.jp is its own domain."
AWS,AWS,keep,"REJECTED merge with `Amazon`. This is a parent/brand rollup, not a spelling variant. Rollups are out of scope for this table by design: they are an editorial decision about the unit of analysis, and a reader can do them downstream because firm_raw is preserved."
Azure,Azure,keep,"REJECTED merge with `Microsoft`. Same reason as `AWS`: a brand of a parent, not a spelling of it."
Netease Game,Netease Game,keep,"REJECTED merge with `NetEase`. NetEase Games is a separately branded division. Same rollup reason as `AWS`."
Samsung SDS,Samsung SDS,keep,"REJECTED merge with `Samsung`. Samsung SDS Co., Ltd. is a separate listed company, not a spelling of Samsung Electronics. Its seven rows are Korean consumer-mail domains, so even the attribution is weak; either way it is not the same firm."
